GO:0015764,GO:0015763
GO:0015783,GO:1990570
GO:0015786,GO:0072334
GO:0015787,GO:1990569
GO:0015789,GO:0015787
GO:0015789,GO:1990569
GO:0015790,GO:0072334
GO:0015794,GO:0070811
GO:0015861,GO:0015862
GO:0015862,GO:0015861
GO:0015866,GO:0015867
GO:0015867,GO:0015866
GO:0015868,GO:0051503
GO:0015883,GO:0015866
GO:0015883,GO:0043132
GO:0015970,GO:0015973
GO:0015973,GO:0015970
GO:0016015,GO:0008083
GO:0016018,GO:0071723
GO:0016031,GO:0035928
GO:0016048,GO:0050982
GO:0016084,GO:0005184
GO:0016084,GO:0016085
GO:0016085,GO:0005184
GO:0016085,GO:0016084
GO:0016087,GO:0008255
GO:0016170,GO:0005144
GO:0016170,GO:0045514
GO:0016207,GO:0047541
GO:0016207,GO:0102637
GO:0016267,GO:0016268
GO:0016267,GO:0016269
GO:0016268,GO:0016267
GO:0016268,GO:0016269
GO:0016269,GO:0016268
GO:0016269,GO:0016270
GO:0016270,GO:0016269
GO:0016270,GO:0031042
GO:0016273,GO:0016278
GO:0016295,GO:0016296
GO:0016296,GO:0047381
GO:0016457,GO:0042715
GO:0016493,GO:0016494
GO:0016494,GO:0016493
GO:0016495,GO:0016493
GO:0016495,GO:0016494
GO:0016496,GO:0016497
GO:0016497,GO:0016496
GO:0016499,GO:0060182
GO:0016514,GO:0031010
GO:0016558,GO:0045046
GO:0016586,GO:0031010
GO:0016586,GO:0090545
GO:0016589,GO:0031213
GO:0016589,GO:0090536
GO:0016590,GO:0031213
GO:0016855,GO:0016857
GO:0016856,GO:0016857
GO:0016857,GO:0016856
GO:0016867,GO:0016869
GO:0016869,GO:0016867
GO:0016934,GO:0008068
GO:0016993,GO:0043778
GO:0016993,GO:0050070
GO:0017045,GO:0005183
GO:0017116,GO:0036121
GO:0017179,GO:0017182
GO:0017180,GO:0017183
GO:0017181,GO:0017184
GO:0017182,GO:0017179
GO:0017183,GO:0017180
GO:0017184,GO:0017181
GO:0017189,GO:0018000
GO:0017189,GO:0048275
GO:0017190,GO:0017192
GO:0017190,GO:0018002
GO:0017192,GO:0017193
GO:0017192,GO:0018002
GO:0017193,GO:0017192
GO:0017193,GO:0018000
GO:0017194,GO:0017189
GO:0017194,GO:0048275
GO:0017196,GO:0017189
GO:0017196,GO:0017198
GO:0017197,GO:0017193
GO:0017197,GO:0018000
GO:0017198,GO:0018076
GO:0017199,GO:0017197
GO:0017199,GO:0018000
GO:0018000,GO:0017189
GO:0018000,GO:0017193
GO:0018001,GO:0017194
GO:0018001,GO:0017197
