GO:0018919,GO:0018877
GO:0018929,GO:0018900
GO:0018956,GO:0018957
GO:0018957,GO:0018956
GO:0018967,GO:0018979
GO:0018978,GO:0042188
GO:0018979,GO:0018967
GO:0019090,GO:0035928
GO:0019091,GO:0019092
GO:0019092,GO:0019091
GO:0019146,GO:0004751
GO:0019146,GO:0050044
GO:0019294,GO:1901274
GO:0019302,GO:0042842
GO:0019309,GO:0006007
GO:0019319,GO:0019322
GO:0019320,GO:0019323
GO:0019322,GO:0019319
GO:0019323,GO:0019320
GO:0019325,GO:0019576
GO:0019331,GO:0019332
GO:0019331,GO:0019409
GO:0019331,GO:0043554
GO:0019332,GO:0019409
GO:0019332,GO:0019410
GO:0019332,GO:0043554
GO:0019337,GO:0018979
GO:0019337,GO:0050696
GO:0019382,GO:0018886
GO:0019385,GO:0019386
GO:0019385,GO:0019387
GO:0019386,GO:0019385
GO:0019386,GO:0019387
GO:0019387,GO:0019386
GO:0019409,GO:0019332
GO:0019409,GO:0019412
GO:0019409,GO:0043554
GO:0019410,GO:0019332
GO:0019410,GO:0019412
GO:0019410,GO:0043554
GO:0019411,GO:0019410
GO:0019411,GO:0019412
GO:0019411,GO:0043554
GO:0019412,GO:0019332
GO:0019412,GO:0019410
GO:0019412,GO:0019411
GO:0019414,GO:0019332
GO:0019414,GO:0019411
GO:0019414,GO:0043554
GO:0019429,GO:0043451
GO:0019461,GO:0019462
GO:0019461,GO:0019551
GO:0019462,GO:0019460
GO:0019462,GO:0019551
GO:0019488,GO:0019528
GO:0019488,GO:0019590
GO:0019495,GO:0010133
GO:0019495,GO:0019493
GO:0019497,GO:0018903
GO:0019512,GO:0019513
GO:0019512,GO:0019515
GO:0019513,GO:0019512
GO:0019513,GO:0019515
GO:0019515,GO:0019512
GO:0019515,GO:0019513
GO:0019528,GO:0019573
GO:0019528,GO:0019590
GO:0019549,GO:0019551
GO:0019550,GO:0019555
GO:0019550,GO:0033508
GO:0019550,GO:0033509
GO:0019551,GO:0006539
GO:0019551,GO:0019554
GO:0019551,GO:0036241
GO:0019553,GO:0006539
GO:0019554,GO:0019551
GO:0019554,GO:0033508
GO:0019554,GO:0033509
GO:0019555,GO:0019550
GO:0019555,GO:0033508
GO:0019555,GO:0033509
GO:0019556,GO:0019544
GO:0019556,GO:0019557
GO:0019557,GO:0019544
GO:0019557,GO:0019556
GO:0019569,GO:0019570
GO:0019569,GO:0019573
GO:0019569,GO:0019590
GO:0019570,GO:0019569
GO:0019571,GO:0019572
GO:0019572,GO:0019571
GO:0019573,GO:0019528
GO:0019573,GO:0019569
GO:0019574,GO:0061705
GO:0019576,GO:0019325
GO:0019590,GO:0019528
GO:0019590,GO:0019569
GO:0019640,GO:0019528
GO:0019640,GO:0019697
GO:0019656,GO:0019661
GO:0019656,GO:0030645
GO:0019658,GO:0019656
GO:0019658,GO:0019659
GO:0019659,GO:0030645
GO:0019661,GO:0019656
GO:0019661,GO:0061718
GO:0019697,GO:0019528
GO:0019697,GO:0019590
GO:0019716,GO:0018012
GO:0019716,GO:0035570
GO:0019731,GO:0019732
