GO:0006537,GO:0006542
GO:0006542,GO:0006537
GO:0006564,GO:0070179
GO:0006646,GO:0046338
GO:0006646,GO:0070292
GO:0006647,GO:0070292
GO:0006656,GO:0006646
GO:0006660,GO:0034478
GO:0006660,GO:0034638
GO:0006663,GO:0062234
GO:0006675,GO:0006676
GO:0006676,GO:0006675
GO:0006677,GO:0046478
GO:0006678,GO:0046476
GO:0006678,GO:0046477
GO:0006681,GO:0006678
GO:0006682,GO:0001572
GO:0006734,GO:0019677
GO:0006738,GO:0071590
GO:0006739,GO:0019674
GO:0006741,GO:0009435
GO:0006741,GO:0019674
GO:0006742,GO:0006741
GO:0006742,GO:0019677
GO:0006769,GO:1901847
GO:0006781,GO:1901289
GO:0006876,GO:0010217
GO:0006876,GO:0010961
GO:0006877,GO:0035785
GO:0006878,GO:0055072
GO:0006882,GO:0006883
GO:0006883,GO:0006882
GO:0006957,GO:0001867
GO:0006990,GO:0061400
GO:0006990,GO:1904081
GO:0007019,GO:0046785
GO:0007042,GO:0048388
GO:0007042,GO:0051452
GO:0007052,GO:0051225
GO:0007053,GO:0007056
GO:0007054,GO:0007055
GO:0007055,GO:0007054
GO:0007056,GO:0007053
GO:0007057,GO:0007058
GO:0007058,GO:0007057
GO:0007079,GO:0016344
GO:0007086,GO:0099500
GO:0007088,GO:0040020
GO:0007107,GO:1902410
GO:0007223,GO:0060071
GO:0007270,GO:0007274
GO:0007271,GO:0035249
GO:0007271,GO:0060012
GO:0007288,GO:0035044
GO:0007485,GO:0007486
GO:0007486,GO:0007485
GO:0007536,GO:0007537
GO:0007537,GO:0007536
GO:0008084,GO:0005104
GO:0008084,GO:0005154
GO:0008089,GO:0008090
GO:0008090,GO:0008089
GO:0008175,GO:0008649
GO:0008176,GO:0004809
GO:0008176,GO:0009019
GO:0008293,GO:0038109
GO:0008327,GO:0010428
GO:0008469,GO:0018024
GO:0008469,GO:0140938
GO:0008584,GO:0008585
GO:0008585,GO:0008584
GO:0008614,GO:0019507
GO:0008614,GO:0042817
GO:0008614,GO:0042818
GO:0008615,GO:0042821
GO:0008615,GO:0046220
GO:0008618,GO:0080180
GO:0008650,GO:0030743
GO:0008650,GO:0070041
GO:0008650,GO:0070042
GO:0008655,GO:0043101
GO:0008689,GO:0044596
GO:0008689,GO:0099119
GO:0008767,GO:0047534
GO:0008767,GO:0052691
GO:0008966,GO:0004610
GO:0008966,GO:0004619
GO:0008973,GO:0004615
GO:0008983,GO:0036009
GO:0008983,GO:0106363
GO:0008988,GO:0000179
GO:0008988,GO:0106142
GO:0008989,GO:0008990
GO:0008990,GO:0008989
GO:0009019,GO:0004809
GO:0009020,GO:0070039
GO:0009051,GO:0006098
GO:0009060,GO:0009061
GO:0009067,GO:0009070
GO:0009070,GO:0009067
GO:0009079,GO:0009070
GO:0009084,GO:0009070
GO:0009097,GO:0009098
GO:0009098,GO:0009097
GO:0009103,GO:0009104
GO:0009104,GO:0009103
GO:0009151,GO:0009219
GO:0009153,GO:0009221
GO:0009155,GO:0009223
GO:0009219,GO:0009151
GO:0009221,GO:0009153
GO:0009223,GO:0009155
GO:0009301,GO:0009303
GO:0009301,GO:0009304
GO:0009302,GO:0009301
GO:0009303,GO:0009301
GO:0009303,GO:0009304
GO:0009304,GO:0009301
GO:0009304,GO:0009303
GO:0009383,GO:0070677
GO:0009383,GO:0071424
GO:0009413,GO:0030912
GO:0009435,GO:0006741
GO:0009780,GO:0070995
GO:0009969,GO:0045492
GO:0009971,GO:0007056
GO:0009971,GO:0055050
GO:0009996,GO:0042660
GO:0010058,GO:0010061
GO:0010059,GO:0010060
GO:0010059,GO:0010063
GO:0010060,GO:0010059
GO:0010060,GO:0010062
GO:0010062,GO:0010063
GO:0010063,GO:0010062
GO:0010139,GO:0043097
GO:0010144,GO:0042822
GO:0010181,GO:1902249
GO:0010217,GO:0006876
GO:0010217,GO:0010961
GO:0010245,GO:0051013
GO:0010246,GO:0010399
GO:0010253,GO:0006065
GO:0010253,GO:0052574
GO:0010399,GO:0010400
GO:0010400,GO:0010399
GO:0010401,GO:0010402
GO:0010401,GO:0010403
GO:0010403,GO:0010401
GO:0010413,GO:0010416
GO:0010416,GO:0010413
GO:0010417,GO:0010414
GO:0010422,GO:0032347
GO:0010423,GO:0032348
GO:0010423,GO:2000488
GO:0010428,GO:0008327
GO:0010428,GO:0010429
GO:0010429,GO:0008327
GO:0010429,GO:0010428
GO:0010454,GO:0010455
GO:0010455,GO:0010454
GO:0010462,GO:1901841
GO:0010507,GO:0010508
GO:0010508,GO:0010507
GO:0010509,GO:0080144
GO:0010569,GO:1903110
GO:0010673,GO:1904081
GO:0010723,GO:0036091
GO:0010723,GO:0061400
GO:0010759,GO:0010760
GO:0010760,GO:0010759
GO:0010767,GO:1990248
GO:0010768,GO:0036003
GO:0010768,GO:0097201
GO:0010793,GO:2000238
GO:0010819,GO:2000537
GO:0010845,GO:0045128
GO:0010846,GO:0045128
GO:0010893,GO:0010894
GO:0010894,GO:0010893
GO:0010895,GO:0070452
GO:0010957,GO:0060557
GO:0010960,GO:0055071
GO:0010960,GO:0055075
GO:0010961,GO:0030007
GO:0010961,GO:0030026
GO:0011000,GO:0031582
GO:0011000,GO:0090001
GO:0014049,GO:0014050
