GO:0033340,GO:0033338
GO:0033370,GO:0033377
GO:0033373,GO:0033377
GO:0033377,GO:0033370
GO:0033488,GO:0033489
GO:0033488,GO:0033490
GO:0033489,GO:0033488
GO:0033489,GO:0033490
GO:0033490,GO:0033488
GO:0033490,GO:0033489
GO:0034017,GO:0102943
GO:0034018,GO:0050163
GO:0034024,GO:0047942
GO:0034215,GO:0005351
GO:0034232,GO:0034217
GO:0034345,GO:0032689
GO:0034407,GO:0070597
GO:0034409,GO:0034412
GO:0034410,GO:0070879
GO:0034411,GO:0070598
GO:0034528,GO:0018845
GO:0034528,GO:0034532
GO:0034528,GO:0034536
GO:0034532,GO:0034528
GO:0034532,GO:0034536
GO:0034536,GO:0034528
GO:0034536,GO:0034532
GO:0034630,GO:0072688
GO:0034720,GO:0033169
GO:0034720,GO:0070079
GO:0034720,GO:0071557
GO:0034721,GO:0071557
GO:0034783,GO:0018860
GO:0034783,GO:0050197
GO:0034783,GO:0050218
GO:0034793,GO:0043955
GO:0034796,GO:0047747
GO:0034796,GO:0047779
GO:0034796,GO:0051108
GO:0034797,GO:0034798
GO:0034798,GO:0034797
GO:0034799,GO:0034018
GO:0034823,GO:0047747
GO:0034823,GO:0047779
GO:0034841,GO:0047541
GO:0034842,GO:0042410
GO:0034865,GO:0018857
GO:0034939,GO:0018845
GO:0034942,GO:0034865
GO:0034942,GO:0034943
GO:0034943,GO:0034942
GO:0034943,GO:0047476
GO:0035066,GO:0035067
GO:0035067,GO:0035066
GO:0035091,GO:1901611
GO:0035115,GO:0035116
GO:0035116,GO:0035115
GO:0035118,GO:0035122
GO:0035119,GO:0035122
GO:0035123,GO:0035124
GO:0035124,GO:0035123
GO:0035395,GO:2000339
GO:0035470,GO:0061044
GO:0035532,GO:0071650
GO:0035532,GO:0071653
GO:0035579,GO:0070821
GO:0035695,GO:0000423
GO:0035720,GO:0035721
GO:0035721,GO:0035720
GO:0035727,GO:0070300
GO:0035727,GO:1901611
GO:0035794,GO:0035795
GO:0035794,GO:1902108
GO:0035795,GO:0035794
GO:0035853,GO:0072356
GO:0035891,GO:0044409
GO:0036020,GO:0031901
GO:0036020,GO:0031902
GO:0036198,GO:0006239
GO:0036492,GO:0036496
GO:0036492,GO:0036497
GO:0036494,GO:0036495
GO:0036495,GO:0036494
