GO:0019970	GO:0019983
GO:0019973	GO:0019975
GO:0021686	GO:0021690
GO:0021717	GO:0021722
GO:0021813	GO:0021832
GO:0021832	GO:0003367
GO:0021874	GO:0060593
GO:0021874	GO:0061289
GO:0021875	GO:0090243
GO:0021899	GO:0021875
GO:0021907	GO:0060825
GO:0021907	GO:0090243
GO:0021922	GO:0060593
GO:0021922	GO:0061289
GO:0022855	GO:0022871
GO:0030330	GO:0042772
GO:0030395	GO:1901982
GO:0030717	GO:0061989
GO:0031089	GO:0098898
GO:0031213	GO:0090536
GO:0031366	GO:0031367
GO:0032149	GO:1905582
GO:0032254	GO:0051905
GO:0032262	GO:0043097
GO:0032263	GO:0032264
GO:0032263	GO:0044209
GO:0032264	GO:0044209
GO:0032687	GO:0032688
GO:0033189	GO:0033197
GO:0033189	GO:0033280
GO:0033197	GO:0033280
GO:0033212	GO:1901678
GO:0033274	GO:0033552
GO:0033399	GO:0033400
GO:0033465	GO:0033466
GO:0033485	GO:0033486
GO:0033527	GO:0033526
GO:0033627	GO:0044331
GO:0033631	GO:0044331
GO:0033741	GO:0043866
GO:0033913	GO:0046557
GO:0034078	GO:0051144
GO:0034124	GO:0034127
GO:0034287	GO:0034288
GO:0034446	GO:0007160
GO:0034695	GO:0071798
GO:0035092	GO:0030261
GO:0035338	GO:0036116
GO:0035593	GO:0038013
GO:0035602	GO:0035604
GO:0035602	GO:0061313
GO:0035603	GO:0090243
GO:0035604	GO:0061313
GO:0035607	GO:0090243
GO:0035676	GO:0035677
GO:0035716	GO:0035717
GO:0035724	GO:0035781
GO:0035724	GO:0045222
GO:0035780	GO:0035781
GO:0035790	GO:0035791
GO:0036067	GO:0036068
GO:0036069	GO:0036070
GO:0036078	GO:0070462
GO:0036101	GO:1901752
GO:0036102	GO:1901751
GO:0036111	GO:0035336
GO:0036113	GO:0036116
GO:0036323	GO:0036324
GO:0036323	GO:0036325
GO:0036324	GO:0036325
GO:0036339	GO:0061757
GO:0036341	GO:0036340
GO:0036436	GO:0036437
GO:0036509	GO:0036510
GO:0036511	GO:0036512
GO:0038087	GO:0038088
GO:0038090	GO:0038091
GO:0038128	GO:0038129
GO:0038135	GO:0038136
GO:0038135	GO:0038138
GO:0038167	GO:0038029
GO:0042007	GO:0042013
GO:0042017	GO:0042019
GO:0042139	GO:0042140
GO:0042163	GO:0042164
GO:0042713	GO:0046692
GO:0042973	GO:0052859
GO:0043101	GO:0043174
GO:0043173	GO:0043174
GO:0043613	GO:0043694
GO:0043682	GO:0015445
GO:0044209	GO:0032264
GO:0044328	GO:0044340
