GO_1	GO_2	GO_1_Depth	GO_1_Leaf_Distance	GO_2_Depth	GO_2_Leaf_Distance	GO_1_to_GO_2_Hops_Undirected
GO:0010024	GO:0043650	6	0	6.0	1.0	4.0
GO:0008348	GO:0031348	6	3	5.0	1.0	3.0
GO:1901354	GO:1902074	5	1	3.0	2.0	4.0
GO:0006116	GO:0008152	3	1	1.0	1.0	2.0
GO:2000774	GO:0031325	5	0	5.0	1.0	3.0
GO:1901571	GO:0006869	5	0	5.0	1.0	2.0
GO:0001755	GO:0090497	5	1	5.0	1.0	2.0
GO:0005277	GO:0015651	4	1	6.0	1.0	2.0
GO:0015499	GO:1901702	6	1	3.0	1.0	4.0
GO:1901352	GO:0031327	8	0	6.0	1.0	2.0
GO:0043603	GO:0006807	4	1	2.0	1.0	2.0
GO:0039673	GO:0019049	4	0	3.0	1.0	2.0
GO:0140225	GO:0044815	2	0	2.0	1.0	2.0
GO:0006877	GO:0030003	8	0	5.0	1.0	3.0
GO:0001139	GO:0030674	6	0	2.0	1.0	8.0
GO:0045861	GO:0051248	7	1	6.0	1.0	2.0
GO:0019499	GO:1901564	3	1	3.0	1.0	2.0
GO:0008933	GO:0016837	3	1	4.0	1.0	5.0
GO:0140723	GO:0046165	5	0	4.0	1.0	3.0
GO:0043543	GO:0036211	6	1	4.0	2.0	2.0
GO:0090422	GO:1901702	4	0	3.0	1.0	3.0
GO:1902273	GO:0034763	8	0	5.0	1.0	3.0
GO:1904187	GO:0050794	4	1	3.0	1.0	3.0
GO:0032803	GO:0042176	6	1	5.0	1.0	2.0
GO:0002754	GO:0002753	4	0	4.0	2.0	2.0
GO:0009368	GO:1902494	2	1	2.0	1.0	2.0
GO:0032217	GO:1901702	4	0	3.0	1.0	3.0
GO:0004117	GO:0004115	8	0	8.0	0.0	2.0
GO:0036453	GO:0035194	10	1	8.0	1.0	2.0
GO:0030956	GO:1902494	3	0	2.0	1.0	3.0
GO:1905829	GO:0050995	6	0	6.0	1.0	2.0
GO:2001000	GO:2000988	6	3	6.0	2.0	2.0
GO:0034145	GO:0062208	8	0	6.0	1.0	2.0
GO:0018215	GO:0036211	6	1	4.0	2.0	2.0
GO:0033609	GO:0006807	7	1	2.0	1.0	5.0
GO:0097275	GO:0055082	7	0	3.0	1.0	4.0
GO:0090612	GO:0016814	4	0	4.0	1.0	3.0
GO:0045571	GO:0048640	6	0	5.0	1.0	2.0
GO:0010512	GO:0031327	8	1	6.0	1.0	2.0
GO:0051870	GO:0072341	3	0	2.0	1.0	3.0
GO:0034151	GO:0062207	7	1	5.0	2.0	2.0
GO:0000097	GO:0046394	5	2	5.0	1.0	2.0
GO:0045283	GO:1902494	4	1	2.0	1.0	4.0
GO:0070906	GO:0015297	6	0	5.0	1.0	2.0
GO:0034775	GO:0055085	5	1	2.0	1.0	3.0
GO:0034157	GO:0062208	8	0	6.0	1.0	2.0
GO:0071088	GO:1902494	4	0	2.0	1.0	4.0
GO:0042572	GO:0042445	4	0	2.0	2.0	2.0
GO:0047822	GO:0016709	5	0	4.0	1.0	5.0
GO:0034141	GO:0062208	8	0	6.0	1.0	2.0
GO:0033069	GO:0072338	3	1	3.0	2.0	2.0
GO:0015793	GO:0034219	6	0	3.0	1.0	2.0
GO:0051673	GO:0052025	3	1	7.0	2.0	2.0
GO:0009847	GO:0048869	4	1	2.0	1.0	2.0
GO:0008214	GO:0036211	6	2	4.0	2.0	2.0
GO:0015501	GO:0042887	6	1	3.0	1.0	3.0
GO:0001550	GO:0048589	2	0	2.0	1.0	2.0
GO:0015138	GO:1901702	6	1	3.0	1.0	5.0
GO:0005452	GO:0015297	5	0	5.0	1.0	2.0
GO:0006703	GO:0042446	4	0	3.0	1.0	2.0
GO:1901752	GO:0042758	5	0	6.0	1.0	3.0
GO:0019869	GO:0008200	5	0	4.0	1.0	3.0
GO:0061515	GO:0030097	4	1	5.0	1.0	5.0
GO:0072338	GO:1901360	3	2	3.0	1.0	2.0
GO:0034165	GO:0062208	8	1	6.0	1.0	2.0
GO:1900555	GO:0072338	3	2	3.0	2.0	3.0
GO:0019471	GO:0046483	4	1	3.0	1.0	3.0
GO:0002144	GO:1902494	2	0	2.0	1.0	2.0
GO:1901728	GO:0019752	4	1	5.0	1.0	3.0
GO:0015112	GO:1901702	5	1	3.0	1.0	4.0
GO:0072741	GO:0008104	5	1	3.0	1.0	2.0
GO:1901151	GO:0030649	4	0	4.0	1.0	2.0
GO:0035865	GO:1902075	6	0	4.0	1.0	4.0
GO:0006260	GO:0006259	5	1	4.0	1.0	3.0
GO:0006517	GO:0036211	5	2	4.0	2.0	2.0
GO:0042556	GO:0003674	5	1	0.0	1.0	5.0
GO:0098709	GO:0098657	6	0	4.0	1.0	3.0
GO:1904783	GO:0032414	5	0	5.0	1.0	2.0
GO:1901351	GO:0031326	7	1	5.0	1.0	2.0
GO:0010858	GO:0003674	5	1	0.0	1.0	5.0
GO:1900349	GO:0033239	6	0	6.0	1.0	2.0
GO:0044696	GO:0001907	6	0	4.0	2.0	2.0
GO:0005956	GO:1902554	3	0	6.0	1.0	4.0
GO:1904728	GO:0031325	6	0	5.0	1.0	3.0
GO:0005278	GO:0015297	5	0	5.0	1.0	3.0
GO:1903424	GO:0098656	6	1	4.0	1.0	2.0
GO:0039671	GO:0019049	4	1	3.0	1.0	2.0
GO:2001255	GO:0031062	11	0	9.0	1.0	2.0
GO:1990151	GO:0008104	5	1	3.0	1.0	2.0
GO:0034152	GO:0002683	7	0	4.0	1.0	4.0
GO:0017087	GO:1902494	3	0	2.0	1.0	3.0
GO:1990636	GO:0044848	4	0	1.0	1.0	5.0
GO:1902274	GO:0034764	8	0	5.0	1.0	3.0
GO:0070647	GO:0036211	6	2	4.0	2.0	2.0
GO:2000311	GO:0032412	5	1	5.0	1.0	2.0
GO:0035694	GO:0030163	6	0	4.0	1.0	2.0
