GO:0017133	GO:0017087
GO:0018467	GO:0019145
GO:0018474	GO:0102244
GO:0018478	GO:0033722
GO:0018478	GO:0047104
GO:0018479	GO:0018477
GO:0018480	GO:0018481
GO:0018482	GO:0018483
GO:0018483	GO:0055043
GO:0018484	GO:0047106
GO:0018855	GO:0043955
GO:0018856	GO:0018858
GO:0018856	GO:0030729
GO:0018856	GO:0050203
GO:0018858	GO:0018860
GO:0018858	GO:0050203
GO:0018859	GO:0018861
GO:0018859	GO:0042410
GO:0018860	GO:0030729
GO:0018860	GO:0050203
GO:0018861	GO:0042410
GO:0018861	GO:0047541
GO:0019054	GO:0039637
GO:0019054	GO:0098676
GO:0019245	GO:0019246
GO:0019250	GO:0019251
GO:0019264	GO:0006535
GO:0019280	GO:0019281
GO:0019280	GO:0033516
GO:0019281	GO:0033516
GO:0019325	GO:0019576
GO:0019343	GO:0019345
GO:0019352	GO:0019353
GO:0019356	GO:0006587
GO:0019440	GO:0019441
GO:0019440	GO:0019442
GO:0019440	GO:0019444
GO:0019441	GO:0019442
GO:0019441	GO:0019444
GO:0019442	GO:0019444
GO:0019449	GO:0019452
GO:0019450	GO:0019452
GO:0019450	GO:0019453
GO:0019454	GO:0019455
GO:0019454	GO:0019456
GO:0019455	GO:0019456
GO:0019533	GO:2001087
GO:0019571	GO:0019572
GO:0019573	GO:0019569
GO:0019625	GO:0019624
GO:0019656	GO:0019658
GO:0019659	GO:0030645
GO:0019659	GO:0061718
GO:0019775	GO:0019777
GO:0019775	GO:0071568
GO:0019777	GO:0042296
GO:0019777	GO:0071568
GO:0019778	GO:0019779
GO:0019778	GO:0019782
GO:0019779	GO:0019782
GO:0019780	GO:0019782
GO:0019854	GO:0019698
GO:0019897	GO:0031312
GO:0019910	GO:0099128
GO:0021540	GO:0021977
GO:0021833	GO:0043708
GO:0021952	GO:0021956
GO:0021957	GO:0021962
GO:0021957	GO:0021977
GO:0021958	GO:0021959
GO:0021958	GO:0034429
GO:0021959	GO:0021963
GO:0021959	GO:0034429
GO:0021960	GO:0021961
GO:0021960	GO:0034429
GO:0021961	GO:0034429
GO:0021962	GO:0021964
GO:0021962	GO:0021977
GO:0021963	GO:0021974
GO:0021963	GO:0021977
GO:0021964	GO:0021977
GO:0021965	GO:0021961
GO:0021965	GO:0034429
GO:0021974	GO:0021977
GO:0021974	GO:0034429
GO:0021975	GO:0021963
GO:0021975	GO:0021964
GO:0021975	GO:0021977
GO:0021976	GO:0021962
GO:0021976	GO:0021977
GO:0022606	GO:0035089
GO:0022870	GO:0022855
GO:0022870	GO:0022871
GO:0022871	GO:0022855
GO:0022877	GO:0022855
GO:0022877	GO:0022871
GO:0030116	GO:0005130
GO:0030331	GO:0033142
GO:0030331	GO:0050681
GO:0030435	GO:0030436
GO:0030437	GO:0034295
GO:0030437	GO:0075243
GO:0030493	GO:0052643
GO:0030697	GO:0047151
GO:0030697	GO:0160101
GO:0030729	GO:0050203
GO:0030846	GO:0030847
GO:0030937	GO:1990322
GO:0030937	GO:1990327
GO:0030950	GO:0030951
GO:0031048	GO:1902795
GO:0031089	GO:0034466
GO:0031089	GO:0098898
GO:0031096	GO:0031907
GO:0031205	GO:0071256
GO:0031211	GO:0034663
GO:0031232	GO:0099243
GO:0031234	GO:0099243
GO:0031242	GO:0031245
GO:0031244	GO:0031312
GO:0031269	GO:0046847
GO:0031272	GO:0051489
GO:0031273	GO:0031274
GO:0031273	GO:0051490
GO:0031274	GO:0051491
GO:0031314	GO:0031315
